Entity,Code,Year,Annual CO₂ emissions
United States,USA,1800,252815.98
United States,USA,1801,267472
United States,USA,1802,289456
United States,USA,1803,296784
United States,USA,1804,333424
United States,USA,1805,340752
United States,USA,1806,333424
United States,USA,1807,377392
United States,USA,1808,392048
United States,USA,1809,403040
United States,USA,1810,417696
United States,USA,1811,447008
United States,USA,1812,483648
United States,USA,1813,520288
United States,USA,1814,560592
United States,USA,1815,600896
United States,USA,1816,663184
United States,USA,1817,718144
United States,USA,1818,780432
United States,USA,1819,762112
United States,USA,1820,791424
United States,USA,1821,828064
United States,USA,1822,864704
United States,USA,1823,901344
United States,USA,1824,1014928
United States,USA,1825,1135840
United States,USA,1826,1315376
United States,USA,1827,1447280
United States,USA,1828,1593840
United States,USA,1829,1795360
United States,USA,1830,2088480
United States,USA,1831,2264352
United States,USA,1832,3022800
United States,USA,1833,3528432
United States,USA,1834,3381872
United States,USA,1835,4316192
United States,USA,1836,4730224
United States,USA,1837,5305472
United States,USA,1838,5030672
United States,USA,1839,5517984
United States,USA,1840,5873392
United States,USA,1841,6214144
United States,USA,1842,6917632
United States,USA,1843,7764016
United States,USA,1844,9306560
United States,USA,1845,11204512
United States,USA,1846,12710416
United States,USA,1847,15070032
United States,USA,1848,16784784
United States,USA,1849,18221072
United States,USA,1850,19792928
United States,USA,1851,24633072
United States,USA,1852,26791168
United States,USA,1853,30162048
United States,USA,1854,33159198
United States,USA,1855,38160560
United States,USA,1856,40036530
United States,USA,1857,41055120
United States,USA,1858,41648690
United States,USA,1859,45320016
United States,USA,1860,47437810
United States,USA,1861,45679090
United States,USA,1862,47448800
United States,USA,1863,54809776
United States,USA,1864,58656976
United States,USA,1865,58821856
United States,USA,1866,59232224
United States,USA,1867,72865970
United States,USA,1868,82352060
United States,USA,1869,93695810
United States,USA,1870,98620220
United States,USA,1871,103020690
United States,USA,1872,126305410
United States,USA,1873,139506800
United States,USA,1874,134296590
United States,USA,1875,135747540
United States,USA,1876,132820010
United States,USA,1877,147175550
United States,USA,1878,143903600
United States,USA,1879,175468960
United States,USA,1880,198856380
United States,USA,1881,210400510
United States,USA,1882,235663860
United States,USA,1883,254230540
United States,USA,1884,267921760
United States,USA,1885,272506900
United States,USA,1886,287836900
United States,USA,1887,307936640
United States,USA,1888,374415200
United States,USA,1889,336123680
United States,USA,1890,402411650
United States,USA,1891,428107500
United States,USA,1892,451176600
United States,USA,1893,454759420
United States,USA,1894,425744800
United States,USA,1895,480673180
United States,USA,1896,481672540
United States,USA,1897,501199780
United States,USA,1898,546327300
United States,USA,1899,626822900
United States,USA,1900,664131600
United States,USA,1901,723192060
United States,USA,1902,766651600
United States,USA,1903,896952800
United States,USA,1904,884803400
United States,USA,1905,989991200
United States,USA,1906,1039963970
United States,USA,1907,1208486300
United States,USA,1908,1057521600
United States,USA,1909,1171650800
United States,USA,1910,1278529500
United States,USA,1911,1265776100
United States,USA,1912,1351017700
United States,USA,1913,1450855400
United States,USA,1914,1325944300
United States,USA,1915,1375451600
United States,USA,1916,1527240000
United States,USA,1917,1679331300
United States,USA,1918,1754117200
United States,USA,1919,1486433300
United States,USA,1920,1747166700
United States,USA,1921,1432479000
United States,USA,1922,1446013000
United States,USA,1923,1909034400
United States,USA,1924,1711686500
United States,USA,1925,1758185500
United States,USA,1926,1906048500
United States,USA,1927,1862839200
United States,USA,1928,1830965000
United States,USA,1929,1963506200
United States,USA,1930,1744916200
United States,USA,1931,1484959100
United States,USA,1932,1257814100
United States,USA,1933,1348876800
United States,USA,1934,1436238600
United States,USA,1935,1492320900
United States,USA,1936,1713411700
United States,USA,1937,1792609900
United States,USA,1938,1515749900
United States,USA,1939,1670920400
United States,USA,1940,1874985100
United States,USA,1941,2043585000
United States,USA,1942,2198264800
United States,USA,1943,2272059100
United States,USA,1944,2444903700
United States,USA,1945,2359551500
United States,USA,1946,2257493800
United States,USA,1947,2485854500
United States,USA,1948,2582558700
United States,USA,1949,2164862200
United States,USA,1950,2541485300
United States,USA,1951,2618704400
United States,USA,1952,2551215900
United States,USA,1953,2612971300
United States,USA,1954,2489462300
United States,USA,1955,2728508400
United States,USA,1956,2859987500
United States,USA,1957,2835772200
United States,USA,1958,2747107600
United States,USA,1959,2831908400
United States,USA,1960,2897308000
United States,USA,1961,2886861800
United States,USA,1962,2993898500
United States,USA,1963,3126484000
United States,USA,1964,3264306400
United States,USA,1965,3399539200
United States,USA,1966,3571417600
United States,USA,1967,3705461000
United States,USA,1968,3840923400
United States,USA,1969,4035156200
United States,USA,1970,4339704300
United States,USA,1971,4365483500
United States,USA,1972,4573033500
United States,USA,1973,4777725000
United States,USA,1974,4608462300
United States,USA,1975,4414455300
United States,USA,1976,4621539000
United States,USA,1977,4749501000
United States,USA,1978,4897339000
United States,USA,1979,4908766000
United States,USA,1980,4730218500
United States,USA,1981,4543633400
United States,USA,1982,4311918600
United States,USA,1983,4346381000
United States,USA,1984,4479379500
United States,USA,1985,4495378400
United States,USA,1986,4498135600
United States,USA,1987,4691930000
United States,USA,1988,4897776000
United States,USA,1989,4960237600
United States,USA,1990,5131760600
United States,USA,1991,5076412400
United States,USA,1992,5178769400
United States,USA,1993,5279520300
United States,USA,1994,5361863000
United States,USA,1995,5425837600
United States,USA,1996,5601094000
United States,USA,1997,5673144000
United States,USA,1998,5736360000
United States,USA,1999,5800281000
United States,USA,2000,6023158000
United States,USA,2001,5903562000
United States,USA,2002,5947819500
United States,USA,2003,6006440000
United States,USA,2004,6111545000
United States,USA,2005,6126903300
United States,USA,2006,6045326300
United States,USA,2007,6121542700
United States,USA,2008,5919221000
United States,USA,2009,5486104000
United States,USA,2010,5669250000
United States,USA,2011,5538973000
United States,USA,2012,5331467300
United States,USA,2013,5473436000
United States,USA,2014,5531385300
United States,USA,2015,5368496600
United States,USA,2016,5245361700
United States,USA,2017,5195417600
United States,USA,2018,5361236500
United States,USA,2019,5235912000
United States,USA,2020,4689954000
United States,USA,2021,5020111000
United States,USA,2022,5055403000
United States,USA,2023,4918406700
United States,USA,2024,4904120000